Código del bien o servicio;Descripción del bien o servicio;Impuesto
0123902000300;Chayote blanco, fresco o refrigerado;1%
0123902000400;Chayote cocoro, fresco o refrigerado;1%
0123902000500;Chayote mini, fresco o refrigerado;13%
0123902000600;Raíz de chayote, fresca o refrigerada;13%
0123902009900;Chayote, fresco o refrigerado, n.c.p.;1%
0123903000000;Okra (quimbombó), fresca o refrigerada;13%
0123904000000;Tomatillo, fresco o refrigerado;13%
0123999000000;Hortalizas de frutos, frescas o refrigeradas, n.c.p.;13%
0124101010000;Frijoles tiernos orgánicos, frescos o refrigerados;13%
0124101020000;Frijoles tiernos, frescos o refrigerados;13%
0124102010000;Frijoles verdes orgánicos, frescos o refrigerados;13%
0124102020000;Frijoles verdes, frescos o refrigerados;13%
0124200000000;Arvejas (guisantes) verdes, frescas o refrigeradas;13%
0124300000000;Habas, verdes;13%
0124900000100;Lentejas, frescas o refrigeradas;13%
0124900000200;Garbanzos, frescos o refrigerados;1%
0124900009900;Leguminosas verdes, frescas o refrigeradas, n.c.p.;13%
0125101010100;Zanahoria mini orgánica, fresca o refrigerada;13%
0125101019900;Zanahoria orgánica, fresca o refrigerada, n.c.p.;1%
0125101020100;Zanahoria mini, fresca o refrigerada;13%
0125101029900;Zanahoria, fresca o refrigerada, n.c.p.;1%
0125102010100;Jicama (nabo mexicano) orgánica, fresca o refrigerada;13%
0125102019900;Nabo orgánico, fresco o refrigerado, n.c.p.;13%
0125102020100;Jicama (nabo mexicano), fresca o refrigerada;13%
0125102029900;Nabo, fresco o refrigerado, n.c.p.;13%
0125200000100;Ajo pelado, fresco o refrigerado;1%
0125200000200;Ajo (criollo o importado), fresco o refrigerado;1%
0125300010100;Cebolla orgánica excepto mini (chalota), fresca o refrigerada;1%
0125300010200;Cebolla mini (chalota) orgánica, fresca o refrigerada;13%
0125300020100;Cebolla amarilla, fresca o refrigerada;1%
0125300020200;Cebolla perla, fresca o refrigerada;1%
0125300020300;Cebolla morada (roja), fresca o refrigerada;1%
0125300020400;Cebolla dulce, fresca o refrigerada;1%
0125300020500;Cebolla blanca, fresca o refrigerada;1%
0125300020600;Cebolla tierna morada (roja), fresca o refrigerada;1%
0125300020700;Cebolla tierna blanca, fresca o refrigerada;1%
0125300020800;Cebolla jumbo, fresca o refrigerada;1%
0125300020900;Cebolla mini (chalota), fresca o refrigerada;13%
0125300029900;Cebolla, fresca o refrigerada, n.c.p.;1%
0125401010000;Cebollín orgánico, fresco o refrigerado;13%
0125401020100;Cebollín chino, fresco o refrigerado;13%
0125401020200;Cebollín común, fresco o refrigerado;13%
0125402010000;Chipolino orgánico, fresco o refrigerado;13%
0125402020000;Chipolino, fresco o refrigerado;13%
0125403010000;Puerro orgánico, fresco o refrigerado;13%
0125403020000;Puerro, fresco o refrigerado;13%
0125499010000;Hortalizas aliáceas orgánicas, frescas o refrigeradas, n.c.p.;13%
0125499020000;Hortalizas aliáceas, frescas o refrigeradas, n.c.p.;13%
0125901000000;Apionabo, fresco o refrigerado;13%
0125902000100;Rábano picante, fresco o refrigerado;1%
0125902000200;Rábano rojo, fresco o refrigerado;1%
0125902000300;Rabanito, fresco o refrigerado;1%
0125902009900;Rábano, fresco o refrigerado, n.c.p.;1%
0125903000100;Remolacha, fresca o refrigerada;1%
0125903000200;Hoja de remolacha, fresca o refrigerada;13%
0125999000000;Hortalizas de raíz, bulbosas o tuberosas, n.c.p.;13%
0126000000100;Semillas de apio;13%
0126000000200;Semillas de chile;13%
0126000000300;Semillas de calabacín;13%
0126000000400;Semillas de alverja;13%
0126000000500;Semillas de pepino cohombro;13%
0126000000600;Semillas de berenjena;13%
0126000000700;Semillas de endibia;13%
0126000000800;Semillas de ajo;13%
0126000000900;Semillas de puerro;13%
0126000001000;Semillas de lechuga;13%
0126000001100;Semillas cebolla;13%
0126000001200;Semillas de espinaca;13%
0126000001300;Semillas de tomate;13%
0126000001400;Semillas de acelga;13%
0126000001500;Semillas de coliflor;13%
0126000001600;Semillas de perejil;13%
0126000001700;Semillas de brócoli;13%
0126000001800;Semillas de repollo;13%
0126000001900;Semillas de calabaza;13%
0126000002000;Semillas de espárrago;13%
0126000002100;Semillas de garbanzo;13%
0126000002200;Semillas de haba;13%
0126000009900;Semillas de otras hortalizas, n.c.p.;13%
0127001000100;"Hongo ""crimini"", fresco o refrigerado";13%
0127001000200;"Hongo ""ostra"", fresco o refrigerado";13%
0127001000300;"Hongo ""portobello"", fresco o refrigerado";13%
0127001000400;"Hongo ""shitake"", fresco o refrigerado";13%
0127001000500;Hongo blanco, fresco o refrigerado;13%
0127001000600;"Hongo ""seta"", fresco o refrigerado";13%
0127001000700;"Hongo ""tonku"", fresco o refrigerado";13%
0127001009900;Hongos, frescos o refrigerados, n.c.p.;13%
0127002000000;Trufa;13%
0129001010000;Acacia orgánica, fresca o refrigerada;13%
0129001020000;Acacia, fresca o refrigerada;13%
0129002010000;Alfalfa orgánica, fresca o refrigerada;13%
0129002020000;Alfalfa, fresca o refrigerada;13%
0129003010000;Carao orgánico, fresco o refrigerado;13%
0129003020000;Carao, fresco o refrigerado;13%
0129004010100;Apio blanco orgánico, fresco o refrigerado;13%
0129004010200;Apio verde orgánico, fresco o refrigerado;13%
0129004020100;Apio blanco, fresco o refrigerado;13%
0129004020200;Apio verde, fresco o refrigerado;13%
0129005010000;Arum orgánica, fresca o refrigerada;13%
0129005020000;Arum, fresca o refrigerada;13%
0129006010000;Hoja de arveja orgánica, fresca o refrigerada;13%
0129006020000;Hoja de arveja, fresca o refrigerada;13%
0129007010000;Barba cabruna (salsifí) orgánica, fresca o refrigerada;13%
0129007020000;Barba cabruna (salsifí), fresca o refrigerada;13%
0129008010100;Elote blanco tierno orgánico, fresco o refrigerado;1%
0129008010200;Elote blanco tierno mini orgánico, fresco o refrigerado;13%
0129008010300;Elote amarillo tierno orgánico, fresco o refrigerado;1%
0129008010400;Elote amarillo dulce orgánico, fresco o refrigerado;1%
0129008019900;Elote orgánico, fresco o refrigerado, n.c.p.;13%
0129008020100;Elote blanco tierno, fresco o refrigerado;1%
0129008020200;Elote blanco tierno mini, fresco o refrigerado;13%
0129008020300;Elote amarillo tierno, fresco o refrigerado;1%
0129008020400;Elote amarillo dulce, fresco o refrigerado;1%
0129008029900;Elote, fresco o refrigerado, n.c.p.;13%
0129009000000;Flor de Itabo, fresca o refrigerada;1%
0129010010000;Frijol nacido (brotes de soya) orgánico, fresco o refrigerado;13%
0129010020000;Frijol nacido (brotes de soya), fresco o refrigerado;13%
0129011000000;Galanga, fresca o refrigerada;13%
0129012010000;Hinojo orgánico, fresco o refrigerado;13%
0129012020000;Hinojo, fresco o refrigerado;13%
0129013000000;Hoja de plátano, fresca o refrigerada;1%
0129014010000;Maguey (agave) orgánico, fresco o refrigerado;13%
0129014020000;Maguey (agave), fresco o refrigerado;13%
0129015010000;Mostaza orgánica, fresca o refrigerada;13%
0129015020000;Mostaza, fresca o refrigerada;13%
0129016010000;Tacaco orgánico, fresco o refrigerado;13%
0129016020000;Tacaco, fresco o refrigerado;13%
0129017010100;Vainica mini orgánica, fresca o refrigerada;13%
0129017019900;Vainica orgánica, fresca o refrigerada, n.c.p.;1%
0129017020100;Vainica mini, fresca o refrigerada;13%
0129017029900;Vainicas, frescas o refrigeradas, n.c.p.;1%
0129018010000;Palmito orgánico, fresco o refrigerado;13%
0129018020000;Palmito, fresco o refrigerado;13%
0129019010100;Culantro de coyote orgánico;1%
0129019010200;Culantro de castilla y mostaza orgánico;1%
0129019020100;Culantro de coyote;1%
0129019020200;Culantro de castilla y mostaza;1%
0129020010000;Mezcla de vegetales orgánicos, frescos o refrigerados;13%
0129020020000;Mezcla de vegetales, frescos o refrigerados;13%
0129099010000;Vegetales orgánicos, frescos o refrigerados, n.c.p.;13%
0129099020000;Vegetales, frescos o refrigerados, n.c.p.;13%
0131100010000;Aguacate orgánico, fresco o refrigerado;1%
0131100020100;"Aguacate ""benik"", fresco o refrigerado";1%
0131100020200;"Aguacate ""catalina"", fresco o refrigerado";1%
0131100020300;"Aguacate ""ettinger"", fresco o refrigerado";1%
0131100020400;"Aguacate ""haas"", fresco o refrigerado";1%
0131100020500;"Aguacate ""nabal"", fresco o refrigerado";1%
0131100020600;"Aguacate ""semil 34"", fresco o refrigerado";1%
0131100020700;"Aguacate ""simmonds"", fresco o refrigerado";1%
0131100020800;"Aguacate ""simpson"", fresco o refrigerado";1%
0131100020900;Aguacate verde, fresco o refrigerado;1%
0131100021000;Aguacate baby, fresco o refrigerado;1%
0131100021100;Aguacate criollo, fresco o refrigerado;1%
0131100021200;Aguacate híbrido, fresco o refrigerado;1%
0131100029900;Aguacate, fresco o refrigerado, n.c.p.;1%
0131200010000;Banano orgánico, fresco o refrigerado;1%
0131200020100;Banano verde, fresco o refrigerado;1%
0131200020200;Banano maduro, fresco o refrigerado;1%
0131200020300;Banano cuadrado verde, fresco o refrigerado;1%
0131200020400;Banano cuadrado maduro, fresco o refrigerado;1%
0131301000100;Guineo verde, fresco o refrigerado;1%
0131301000200;Guineo maduro, fresco o refrigerado;1%
0131302000100;Plátano maduro, fresco o refrigerado;1%
0131302000200;Plátano verde, fresco o refrigerado;1%
0131400000000;Dátiles, frescos o refrigerados;13%
0131500000000;Higos, frescos o refrigerados;13%
0131601010000;Mango (manga) orgánico, fresco o refrigerado;1%
0131601020100;"Mango (manga) ""ataulfo"", fresco o refrigerado";1%
0131601020200;Mango criollo, fresco o refrigerado;1%
0131601020300;"Mango (manga) ""haden"", fresco o refrigerado";1%
0131601020400;"Mango (manga) ""irwin"", fresco o refrigerado";1%
0131601020500;"Mango (manga) ""keitt"", fresco o refrigerado";1%
0131601020600;"Mango (manga) ""kent"", fresco o refrigerado";1%
0131601020700;"Mango (manga) ""palmer"", fresco o refrigerado";1%
0131601020800;"Mango (manga) ""smith"", fresco o refrigerado";1%
0131601020900;"Mango (manga) ""tommy atkins"", fresco o refrigerado";1%
0131601021000;"Mango (manga) ""mora"", fresco o refrigerado";1%
0131601021100;"Mango (manga) ""cavallini"", fresco o refrigerado";1%
0131601021200;"Mango (manga) mecha o ""turpentine"", fresco o refrigerado";1%
0131601021300;"Mango (manga) ""kensington"", fresco o refrigerado";1%
0131601021400;"Mango (manga) ""osteen"", fresco o refrigerado";1%
0131601021500;"Mango (manga) ""caribe"", fresco o refrigerado";1%
0131601021600;Mango rojo, fresco o refrigerado;1%
0131601021700;Mango verde, fresco o refrigerado;1%
0131601021800;Manga verde, fresca o refrigerada;1%
0131601029900;Mango, fresco o refrigerado, n.c.p.;1%
0131602010000;Guayaba orgánica, fresca o refrigerada;13%
0131602020100;Guayaba china/taiwanesa, fresca o refrigerada;13%
0131602020200;Guayaba criolla, fresca o refrigerada;13%
0131602020300;Guayabo de Brasil (feijoa), fresco o refrigerado;13%
0131602029900;Guayaba, fresca o refrigerada, n.c.p.;13%
0131603010000;Mangostino orgánico, fresco o refrigerado;13%
0131603020000;Mangostino, fresco o refrigerado;13%
0131700000100;Papaya verde, fresca o refrigerada;1%
0131700000200;"Papaya ""maradol"", fresca o refrigerada";1%
0131700000300;"Papaya ""solo"", fresca o refrigerada";1%
0131700000400;"Papaya ""tainung"", fresca o refrigerada";1%
0131700000500;"Papaya ""hawaiana"", fresca o refrigerada";1%
0131700000600;"Papaya ""Pococí"", fresca o refrigerada";1%
0131700000700;Papaya criolla, fresca o refrigerada;1%
0131700000800;Papaya híbrida, fresca o refrigerada;1%
0131700009900;Papaya, fresca o refrigerada, n.c.p.;1%
0131800010000;Piña orgánica, fresca o refrigerada;1%
0131800020100;Piña dorada (golden), fresca o refrigerada;1%
0131800020200;"Piña ""sweet gold (MD-2)"", fresca o refrigerada";1%
0131800020300;"Piña ""hawaiana"", fresca o refrigerada";1%
0131800020400;"Piña ""cayenna lisa"", fresca o refrigerada";1%
0131800020500;"Piña ""champaca"", fresca o refrigerada";1%
0131800020600;Piña criolla, fresca o refrigerada;1%
0131800029900;Piña, fresca o refrigerada, n.c.p.;1%
0131901000000;Chirimoya, fresca o refrigerada;13%
0131902000000;Durian, fresco o refrigerado;13%
0131903000000;Fruta de pan, fresca o refrigerada;13%
0131904000000;Pepino dulce, fresco o refrigerado;13%
0131999000000;Frutas tropicales y subtropicales, n.c.p.;13%
0132100000000;Toronja o pomelo, fresco o refrigerado;13%
0132200000100;Limón dulce, fresco o refrigerado;1%
0132200000200;Limón lima, fresco o refrigerado;13%
0132200000300;Limón mandarina, fresco o refrigerado;1%
0132200000400;"Limón ""tahitian"", fresco o refrigerado";13%
0132200000500;Limón mesino (persa), fresco o refrigerado;1%
0132200009900;Limones y limas, frescos o refrigerados, n.c.p.;13%
0132300010100;Naranja orgánica, fresca o refrigerada (dulce, criolla o agria);1%
0132300019900;Naranja orgánica, fresca o refrigerada, n.c.p.;13%
0132300020100;"Naranja ""california navel"", fresca o refrigerada";13%
0132300020200;"Naranja ""cara cara"", fresca o refrigerada";13%
0132300020300;"Naranja ""dream navel"", fresca o refrigerada";13%
0132300020400;"Naranja ""hamlin"", fresca o refrigerada";13%
0132300020500;"Naranja ""navel late"", fresca o refrigerada";13%
0132300020600;"Naranja ""late valencia"", fresca o refrigerada";13%
0132300020700;"Naranja ""limequat"", fresca o refrigerada";13%
0132300020800;"Naranja ""navel"", fresca o refrigerada";13%
0132300020900;"Naranja ""navelina"", fresca o refrigerada";13%
0132300021000;"Naranja ""pera"", fresca o refrigerada";13%
0132300021100;"Naranja ""sanguina"", fresca o refrigerada";13%
0132300021200;"Naranja ""valencia"", fresca o refrigerada";13%
0132300021300;"Naranja ""Washington navel"", fresca o refrigerada";13%
0132300021400;"Naranja ""lane late"", fresca o refrigerada";13%
0132300021500;"Naranja ""clementina"", fresca o refrigerada";13%
0132300021600;"Naranja ""fukumoto"", fresca o refrigerada";13%
0132300021700;"Naranja ""midknight"", fresca o refrigerada";13%
0132300021800;Naranja dulce criolla, fresca o refrigerada;1%
0132300021900;Naranja híbrida, fresca o refrigerada;13%
0132300022000;Naranja agria, fresca o refrigerada;1%
0132300022100;Naranjo chino (kumquat), fresco o refrigerado;13%
0132300029900;Naranja, fresca o refrigerada, n.c.p.;13%
0132401000000;Tangelo, fresco o refrigerado;13%
0132402000000;Tangerina, fresca o refrigerada;13%
0132403000100;"Mandarina ""clauselina"", fresca o refrigerada";13%
0132403000200;"Mandarina ""clementina"", fresca o refrigerada";13%
0132403000300;"Mandarina ""fortuna"", fresca o refrigerada";13%
0132403000400;"Mandarina ""murcott"", fresca o refrigerada";13%
0132403000500;"Mandarina ""ortanique"", fresca o refrigerada";13%
0132403000600;"Mandarina ""satsuma"", fresca o refrigerada";13%
0132403000700;"Mandarina ""temple"", fresca o refrigerada";13%
0132403000800;"Mandarina ""primosole"", fresca o refrigerada";13%
0132403000900;"Mandarina ""tango"", fresca o refrigerada";13%
0132403001000;"Mandarina ""orri"", fresca o refrigerada";13%
0132403001100;Mandarina común, fresca o refrigerada;13%
0132403001200;Mandarina híbrida, fresca o refrigerada;13%
0132403009900;Mandarina, fresca o refrigerada, n.c.p.;13%
0132404000000;Clementina, fresca o refrigerada;13%
0132901000000;Citrón, fresco o refrigerado;13%
0132999000000;Frutas cítricas, frescas o refrigeradas, n.c.p.;13%
0133000000100;Uva globo negra, fresca o refrigerada;13%
0133000000200;Uva negra, fresca o refrigerada;13%
0133000000300;Uva negra sin semilla, fresca o refrigerada;13%
0133000000400;Uva globo dorada, fresca o refrigerada;13%
0133000000500;Uva dorada, fresca o refrigerada;13%
0133000000600;Uva globo roja, fresca o refrigerada;13%
0133000000700;Uva roja, fresca o refrigerada;13%
0133000000800;Uva roja sin semilla, fresca o refrigerada;13%
0133000000900;Uva verde, fresca o refrigerada;13%
0133000001000;Uva verde sin semilla, fresca o refrigerada;13%
0133000001100;Uva para vino, fresca o refrigerada;13%
0133000009900;Uvas, frescas o refrigeradas, n.c.p.;13%
0134100000100;"Manzana ""ambrosia"", fresca o refrigerada";13%
0134100000200;"Manzana ""braeburn"", fresca o refrigerada";13%
0134100000300;"Manzana ""crisp pink"", fresca o refrigerada";13%
0134100000400;"Manzana ""fuji"", fresca o refrigerada";13%
0134100000500;Manzana gala, fresca o refrigerada;13%
0134100000600;"Manzana ""ginger gold"", fresca o refrigerada";13%
0134100000700;Manzana golden (golden delicious), fresca o refrigerada;13%
0134100000800;Manzana verde (granny smith), fresca o refrigerada;13%
0134100000900;"Manzana ""honey crisp"", fresca o refrigerada";13%
0134100001000;"Manzana ""jonagold"", fresca o refrigerada";13%
0134100001100;"Manzana ""pink lady"", fresca o refrigerada";13%
0134100001200;"Manzana ""red chief"", fresca o refrigerada";13%
0134100001300;Manzana roja (red delicious), fresca o refrigerada;13%
0134100001400;"Manzana ""Anna"", fresca o refrigerada";13%
0134100001500;Manzana híbrida, fresca o refrigerada;13%
0134100009900;Manzana, fresca o refrigerada, n.c.p.;13%
0134201000100;"Pera ""anjou"", fresca o refrigerada";13%
0134201000200;"Pera ""asiática"", fresca o refrigerada";13%
0134201000300;"Pera ""beurre"", fresca o refrigerada";13%
0134201000400;"Pera ""bosc"", fresca o refrigerada";13%
0134201000500;"Pera ""comice"", fresca o refrigerada";13%
0134201000600;"Pera ""concorde"", fresca o refrigerada";13%
0134201000700;"Pera ""d'anjou"", fresca o refrigerada";13%
0134201000800;"Pera ""forelle"", fresca o refrigerada";13%
0134201000900;"Pera ""french butter"", fresca o refrigerada";13%
0134201001000;"Pera ""red bartlett"", fresca o refrigerada";13%
0134201001100;"Pera ""red d'anjou"", fresca o refrigerada";13%
0134201001200;"Pera ""rocha"", fresca o refrigerada";13%
0134201001300;"Pera ""seckel"", fresca o refrigerada";13%
0134201001400;"Pera ""ercolini"", fresca o refrigerada";13%
